appid,name,positive_ratings
730,"Counter-Strike: Global Offensive",2644404
570,"Dota 2",863507
440,"Team Fortress 2",515879
4000,"Garry's Mod",363721
218620,"PAYDAY 2",308657
105600,Terraria,255600
550,"Left 4 Dead 2",251789
252950,"Rocket LeagueÂ®",242561
72850,"The Elder Scrolls V: Skyrim",237303
230410,Warframe,226541
252490,Rust,220370
227300,"Euro Truck Simulator 2",176769
49520,"Borderlands 2",144595
620,"Portal 2",138220
8930,"Sid Meier's CivilizationÂ® V",129030
10,Counter-Strike,124534
221100,DayZ,118435
242760,"The Forest",110460
107410,"Arma 3",105034
203160,"Tomb Raider",93509
